,id,name,population,gps_lat,gps_lng,department_id
0,1,Cerca-Carvajal,,,,1
1,2,Cerca-la-Source,,,,1
2,3,Hinche,,,,1
3,4,Acul-du-Nord,,,,2
4,5,La Victoire,,,,2
5,6,Limonade,,,,2
6,7,Pignon,,,,2
7,8,Plaine-du-Nord,,,,2
8,9,Quartier-Morin,,,,2
9,10,Ranquitte,,,,2
10,11,Saint-Raphaël,,,,2
11,12,Capotille,,,,3
12,13,Caracol,,,,3
13,14,Carice,,,,3
14,15,Ferrier,,,,3
15,16,Fort-Liberté,,,,3
16,17,Mont-Organisé,,,,3
17,18,Ouanaminthe,,,,3
18,19,Perches,,,,3
19,20,Terrier-Rouge,,,,3
20,21,Trou-du-Nord,,,,3
21,22,Vallières,,,,3
22,23,Arniquet,,,,4
23,24,Camp-Perrin,,,,4
24,25,Chantal,,,,4
25,26,Côteaux,,,,4
26,27,Les Cayes,,,,4
27,28,Les Chardonnières,,,,4
28,29,Port-Salut,,,,4
29,30,Port-à-Piment,,,,4
30,31,Saint-Jean-du-Sud,,,,4
31,32,Torbeck/Ducis,,,,4
