,id,partner_id,participant_id,type_of_product,date,currency,qty,unit_price,unit,total
0,0,197,,Viande de bovin,2024-09-22,HTG,4496,635.3912631292643,lb,2856719.119029172
1,1,147,,Volaille,2025-05-08,HTG,1736,1782.3553031321821,animal,3094168.806237468
2,2,74,,Oeufs,2026-09-28,HTG,6805,165.14407493901268,douzaine,1123805.4299599812
3,3,21,,Lait de vache,2025-03-14,HTG,33,486.2431273422955,gallon,16046.023202295752
4,4,123,,Volaille,2027-06-01,HTG,1736,1782.3553031321821,animal,3094168.806237468
5,5,61,,Viande de bovin,2024-04-14,HTG,4496,635.3912631292643,lb,2856719.119029172
6,6,171,,Lait de vache,2024-02-21,HTG,33,486.2431273422955,gallon,16046.023202295752
7,7,86,,Viande de mouton,2024-07-14,HTG,2246,603.5221365819438,lb,1355510.7187630457
8,8,189,,Lait de vache,2025-07-09,HTG,33,486.2431273422955,gallon,16046.023202295752
9,9,91,,Viande de mouton,2025-10-24,HTG,2246,603.5221365819438,lb,1355510.7187630457
10,10,80,,Oeufs,2027-06-28,HTG,6805,165.14407493901268,douzaine,1123805.4299599812
11,11,232,,Volaille,2026-02-10,HTG,1736,1782.3553031321821,animal,3094168.806237468
12,12,201,,Lait de vache,2026-08-19,HTG,33,486.2431273422955,gallon,16046.023202295752
13,13,148,,Mouton entier,2027-08-08,HTG,21,38315.713412853176,animal,804629.9816699167
14,14,171,,Viande de chèvre,2024-12-21,HTG,1750,779.1671632777884,lb,1363542.5357361296
15,15,65,,Bovin entier,2025-04-13,HTG,10,99598.5904292935,animal,995985.904292935
16,16,114,,Oeufs,2026-06-30,HTG,6805,165.14407493901268,douzaine,1123805.4299599812
17,17,39,,Bovin entier,2026-05-06,HTG,10,99598.5904292935,animal,995985.904292935
18,18,157,,Lait de vache,2025-11-03,HTG,33,486.2431273422955,gallon,16046.023202295752
19,19,6,,Viande de bovin,2025-04-10,HTG,4496,635.3912631292643,lb,2856719.119029172
20,20,128,,Volaille,2027-02-07,HTG,1736,1782.3553031321821,animal,3094168.806237468
21,21,90,,Viande de chèvre,2026-09-10,HTG,1750,779.1671632777884,lb,1363542.5357361296
22,22,122,,Viande de chèvre,2026-11-22,HTG,1750,779.1671632777884,lb,1363542.5357361296
23,23,216,,Volaille,2025-03-10,HTG,1736,1782.3553031321821,animal,3094168.806237468
24,24,5,,Bovin entier,2026-03-07,HTG,10,99598.5904292935,animal,995985.904292935
25,25,208,,Viande de chèvre,2025-05-18,HTG,1750,779.1671632777884,lb,1363542.5357361296
26,26,85,,Mouton entier,2027-07-25,HTG,21,38315.713412853176,animal,804629.9816699167
27,27,215,,Lait de vache,2026-05-10,HTG,33,486.2431273422955,gallon,16046.023202295752
28,28,180,,Oeufs,2027-06-22,HTG,6805,165.14407493901268,douzaine,1123805.4299599812
29,29,195,,Viande de bovin,2025-10-10,HTG,4496,635.3912631292643,lb,2856719.119029172
30,30,152,,Volaille,2027-02-12,HTG,1736,1782.3553031321821,animal,3094168.806237468
31,31,72,,Viande de chèvre,2025-06-19,HTG,1750,779.1671632777884,lb,1363542.5357361296
32,32,96,,Lait de vache,2024-11-22,HTG,33,486.2431273422955,gallon,16046.023202295752
33,33,10,,Viande de bovin,2024-01-21,HTG,4496,635.3912631292643,lb,2856719.119029172
34,34,10,,Viande de mouton,2025-03-22,HTG,2246,603.5221365819438,lb,1355510.7187630457
35,35,157,,Viande de mouton,2025-06-09,HTG,2246,603.5221365819438,lb,1355510.7187630457
36,36,52,,Oeufs,2025-09-23,HTG,6805,165.14407493901268,douzaine,1123805.4299599812
37,37,77,,Viande de chèvre,2027-11-12,HTG,1750,779.1671632777884,lb,1363542.5357361296
38,38,73,,Mouton entier,2024-05-24,HTG,21,38315.713412853176,animal,804629.9816699167
39,39,54,,Viande de chèvre,2026-10-13,HTG,1750,779.1671632777884,lb,1363542.5357361296
40,40,49,,Viande de bovin,2024-12-22,HTG,4496,635.3912631292643,lb,2856719.119029172
41,41,225,,Lait de vache,2026-12-23,HTG,33,486.2431273422955,gallon,16046.023202295752
42,42,83,,Volaille,2026-02-22,HTG,1736,1782.3553031321821,animal,3094168.806237468
