,id,partner_id,participant_id,partner_name,type_of_product,date,currency,qty,unit_price,unit,total,total_usd
0,0,57,,Solution Boutique Agricole,Lait de vache,2024-06-19,HTG,15,548.9511529987035,gallon,8234.267294980553,62.61800224319812
1,1,13,,THE CHOU FERME,Lait de vache,2027-06-22,HTG,7,490.7072719749783,gallon,3434.950903824848,26.12129964885816
2,2,212,,Mouvement des Investisseurs de Camp-perrin,Mouton entier,2025-12-21,HTG,9,20027.046101164997,animal,180243.41491048498,1370.672356733726
3,3,39,,AGROTECH,Volaille,2025-12-29,HTG,3230,1791.315226924567,animal,5785948.1829663515,43999.60595411674
4,4,221,,Ferme La Bellevue,Bovin entier,2026-05-22,HTG,6,344677.90820768924,animal,2068067.4492461355,15726.748663468712
5,5,94,,Selimond Pierre Wilfrid,Bovin entier,2025-12-18,HTG,12,141443.37335353222,animal,1697320.4802423867,12907.380077888873
6,6,68,,Ferme de l'avenir,Volaille,2025-05-07,HTG,3745,1162.2881273557296,animal,4352769.0369472075,33100.905223933136
7,7,72,,Ferme de Production la Renaissance de Terrier Rouge,Viande de chèvre,2024-04-23,HTG,2366,679.76494236162,lb,1608323.853627593,12230.599647358122
8,8,58,,Poulailler,Volaille,2024-02-14,HTG,557,1539.3278656569614,animal,857405.6211709275,6520.1948378017305
9,9,216,,Splendeur agrobusiness,Volaille,2025-01-30,HTG,4858,1393.9565855327373,animal,6771841.092518038,51496.89043739953
10,10,5,,Ferme Luckner Alexis,Lait de vache,2027-08-14,HTG,48,479.40904461336936,gallon,23011.63414144173,174.9934155242717
11,11,230,,Backup agricultural consulting firm,Oeufs,2026-08-25,HTG,2377,171.2721870899545,douzaine,407113.98871282185,3095.9238685385694
12,12,26,,Poulailler Herold,Bovin entier,2027-08-28,HTG,12,100131.49379088654,animal,1201577.9254906385,9137.474718559988
13,13,227,,Entreprise de Production Agricole et dÉlevage ,Lait de vache,2026-03-10,HTG,40,504.30489068168214,gallon,20172.195627267287,153.40072720355352
14,14,221,,Ferme La Bellevue,Lait de vache,2027-05-16,HTG,48,526.4796548142466,gallon,25271.023431083835,192.1750831261128
15,15,109,,Félicité ferme d'élevage,Bovin entier,2026-12-04,HTG,7,298319.9712885227,animal,2088239.799019659,15880.15056288714
16,16,218,,Mouvman Peyizan Nò,Lait de vache,2027-09-30,HTG,42,514.0348004968636,gallon,21589.46162086827,164.17841536781955
17,17,106,,Association des Jeunes Engagés pour le Développement Socio-économique de Garde-Hiram ,Viande de mouton,2025-06-11,HTG,1088,681.8153714035661,lb,741815.1240870799,5641.179650852318
18,18,11,,Bambou poulailler ,Mouton entier,2025-12-24,HTG,8,20589.763199173303,animal,164718.10559338643,1252.6091680105433
19,19,4,,Ferme Petit Frère de L'incarnation,Oeufs,2025-01-16,HTG,2117,166.54564581059657,douzaine,352577.1321810329,2681.1949215287673
20,20,79,,Calixte Delforce Ferme,Viande de chèvre,2026-10-28,HTG,2259,657.7405854760157,lb,1485835.9825903194,11299.1329474549
21,21,215,,ANTRAID Production,Volaille,2025-03-06,HTG,2284,1957.9035931458843,animal,4471851.8067451995,34006.477617834214
22,22,178,,Rasanbleman Fanm Vanyan Limonad,Oeufs,2027-05-06,HTG,4921,159.52035338813212,douzaine,784999.6590229982,5969.579156068427
23,23,118,,Sonje Lakay Poulailler ,Viande de chèvre,2025-01-29,HTG,1776,683.2535154990206,lb,1213458.2435262606,9227.819342405024
24,24,99,,Friend's Farm Haïti,Volaille,2024-01-13,HTG,1456,1446.9857942485091,animal,2106811.316425829,16021.378832135582
25,25,115,,G&G agroentreprise,Bovin entier,2026-02-27,HTG,7,217243.88663553123,animal,1520707.2064487187,11564.313357024477
26,26,141,,Odjeeez poulailler,Viande de mouton,2027-02-16,HTG,1919,619.360917504566,lb,1188553.6006912622,9038.430423507698
27,27,157,,LAVI PAP DIW famasi veterinè,Viande de mouton,2025-08-28,HTG,1993,596.6953468352416,lb,1189213.8262426364,9043.451150134117
28,28,224,,Job Joseph,Bovin entier,2026-06-14,HTG,15,164887.1847452968,animal,2473307.771179452,18808.424115433096
29,29,169,,Probo-K,Volaille,2026-05-02,HTG,1332,1140.5242204490619,animal,1519178.2616381503,11552.686400290117
30,30,88,,Visionnaire Agro-vert,Oeufs,2026-04-17,HTG,5242,167.84612867837166,douzaine,879849.4065320243,6690.870011650375
31,31,91,,Lakou plètil,Mouton entier,2026-03-17,HTG,7,24437.111230975435,animal,171059.77861682806,1300.8348183789205
32,32,225,,Groupe de Reflexion pour le Développement Local,Lait de vache,2026-12-20,HTG,48,537.4615071810229,gallon,25798.152344689097,196.1836680204494
33,33,127,,Agrotop SNC,Bovin entier,2024-04-07,HTG,6,123983.98448065604,animal,743903.9068839363,5657.063930676321
34,34,155,,LEG poulailler,Oeufs,2024-05-23,HTG,3381,191.88014849721574,douzaine,648746.7820690864,4933.43560508811
35,35,187,,Equipe technique de construction,Bovin entier,2027-04-04,HTG,9,220165.43534817832,animal,1981488.9181336048,15068.35679189053
36,36,212,,Mouvement des Investisseurs de Camp-perrin,Viande de mouton,2024-03-24,HTG,765,582.7954356519301,lb,445838.50827372656,3390.4069070245364
37,37,40,,Centre de Santé et de Développement Intégré,Oeufs,2024-03-23,HTG,2657,179.39000007937045,douzaine,476639.23021088727,3624.6329293603594
38,38,173,,Entreprise Nationale de Services et de Production Agricole,Volaille,2024-02-13,HTG,2155,863.9188623554662,animal,1861745.1483760297,14157.757782327222
39,39,13,,THE CHOU FERME,Bovin entier,2024-08-20,HTG,10,81691.14042360894,animal,816911.4042360894,6212.254024609045
40,40,130,,Sanon Marie Mariana,Viande de bovin,2027-11-19,HTG,3827,621.6927313149008,lb,2379218.0827421253,18092.9131767462
41,41,81,,"Centre d'expérimentation, de production et de vulgarisation agricole(CEPVA)",Lait de vache,2024-05-07,HTG,17,495.81784170015214,gallon,8428.903308902587,64.09812402207291
42,42,169,,Probo-K,Viande de bovin,2027-05-09,HTG,5499,698.1347441217403,lb,3839042.9579254496,29194.243026049047
43,43,77,,Ferme Heptagone,Viande de chèvre,2026-11-25,HTG,327,752.533252619956,lb,246078.3736067256,1871.3184304693962
44,44,17,,Agri-Feed,Viande de bovin,2027-11-11,HTG,1491,605.373789044465,lb,902612.3194652973,6863.972011142945
45,45,205,,Ferme d'élevage de Georges Louicimar,Viande de bovin,2025-02-21,HTG,5595,577.3972628436788,lb,3230537.6856103833,24566.82650654284
46,46,135,,Milord Gerard Steeve,Volaille,2026-06-25,HTG,358,1233.3846431371207,animal,441551.7022430892,3357.8076216204504
47,47,58,,Poulailler,Viande de bovin,2025-05-31,HTG,108,680.5304205777887,lb,73497.28542240118,558.9147180410737
48,48,33,,KABRIT KISKEYA,Viande de chèvre,2026-03-21,HTG,2971,776.4038417923487,lb,2306695.8139650677,17541.413033954886
49,49,143,,Rivelino JOSEPH,Viande de chèvre,2027-12-24,HTG,3273,708.7131374920258,lb,2319618.0990114002,17639.681361303425
50,50,36,,Centre AgroVétérinaire,Mouton entier,2027-08-15,HTG,12,34388.32012915895,animal,412659.8415499074,3138.0976543719194
51,51,159,,Entre nous poulailer,Volaille,2027-04-08,HTG,1221,1801.6371528023878,animal,2199798.9635717156,16728.509228682247
52,52,51,,Ferme Manigat donnat,Lait de vache,2027-05-17,HTG,35,504.8453704070049,gallon,17669.587964245173,134.36949022239676
53,53,144,,Raymond raynold poulailler,Lait de vache,2024-05-25,HTG,17,494.4127033513458,gallon,8405.015956972878,63.91647115568729
54,54,89,,Rozaj Global Production et Distribution,Lait de vache,2026-06-09,HTG,38,524.1012767651059,gallon,19915.848517074024,151.45131952147545
55,55,21,,Coalition des Producteurs pour le Développement Agricole,Viande de mouton,2027-07-05,HTG,1012,630.7056063462462,lb,638274.0736224012,4853.795236672253
56,56,77,,Ferme Heptagone,Bovin entier,2026-07-16,HTG,7,230275.81968672742,animal,1611930.737807092,12258.028424388533
57,57,179,,Asosyasyon Pwodiktè Lèt limonad,Mouton entier,2025-11-27,HTG,20,34534.845839065536,animal,690696.9167813107,5252.448036359777
58,58,74,,Association des.producteurs de lait et éleveurs de Ferrier,Viande de mouton,2024-01-26,HTG,139,582.1188492858981,lb,80914.52005073984,615.31954411209
59,59,14,,Bon Secours Agro Vèt,Bovin entier,2026-07-28,HTG,8,207565.16863688716,animal,1660521.3490950973,12627.538776388572
60,60,123,,Poulailler Adrien Arold,Lait de vache,2026-08-07,HTG,44,502.9322108824996,gallon,22129.017278829982,168.2815002192394
61,61,191,,Agro Yvon Service,Viande de mouton,2026-04-25,HTG,1560,644.6021543796265,lb,1005579.3608322174,7646.991337127129
62,62,127,,Agrotop SNC,Lait de vache,2026-09-13,HTG,19,504.35009840305077,gallon,9582.651869657964,72.87187733580201
63,63,205,,Ferme d'élevage de Georges Louicimar,Volaille,2025-08-30,HTG,4457,1170.0190407123594,animal,5214774.864454986,39656.08261942955
64,64,29,,Poulailler Jameson,Volaille,2026-08-25,HTG,2178,1761.6118712928087,animal,3836790.655675737,29177.115252286974
65,65,58,,Poulailler,Viande de mouton,2025-07-02,HTG,738,572.1988828737183,lb,422282.77556080406,3211.2758597779775
66,66,135,,Milord Gerard Steeve,Viande de chèvre,2027-01-27,HTG,893,768.324257996091,lb,686113.5623905093,5217.5936303460785
67,67,215,,ANTRAID Production,Lait de vache,2027-02-15,HTG,25,504.93076105463564,gallon,12623.269026365891,95.99444126513986
68,68,154,,Le palmiste poulailler,Mouton entier,2024-06-28,HTG,15,20566.19475530602,animal,308492.9213295903,2345.953774369508
69,69,139,,Ferme Agricole Sapatère,Mouton entier,2026-06-11,HTG,22,22213.294966466252,animal,488692.4892622575,3716.292694009563
70,70,166,,Kay plantè,Volaille,2025-04-23,HTG,2101,834.9615497390562,animal,1754254.216001757,13340.336243359368
71,71,7,,Zim Ferme de Recherche Appliquée et de Développement Communautaire ,Viande de bovin,2027-02-09,HTG,5487,603.272933633052,lb,3310158.5868445565,25172.308645205754
